,subject,body,department
12,Could you kindly advise on the best product for my needs?,"Dear Support Team, I hope this message finds you well. I am writing to seek your expert advice on selecting the most suitable product from your esteemed range. I have a particular use case in mind, but I'm not entirely sure which model would be the best fit. Would you be so kind as to guide me through the options? I would greatly appreciate any recommendations you might have. Thank you ever so much for your time and assistance. Warm regards,",Tech Support
13,ECHOWAVE ONE PLUS IS BROKEN!!!,WHY ARE THE LIGHTS BLINKING NONSTOP??? FIX THIS NOW!!!,Tech Support
14,EchoWave One keeps restarting - Order #EW12345,"Hi, I purchased the EchoWave One (Order #EW12345) on March 15th, 2024. The device keeps restarting randomly every few minutes, making it unusable. I've tried resetting it and checking for updates, but the issue persists. Please advise on how to resolve this or if a replacement is needed.",Tech Support
15,Firmware Update Failed on BassHub Pro Limited,"Hello, I recently purchased the BassHub Pro Limited (Order #BHPL-2023-45678 on October 15, 2023) and attempted to update the firmware to version 2.3.9. Unfortunately, the update failed midway, and now the device won't boot properly. Could you please guide me through the recovery process or provide a solution? Thank you for your assistance!",Tech Support
16,Help with WavePanel Touch,The firmware update broke it... what do I do now?,Tech Support
17,Is the mic supposed to just not work?,"Just got the SoundBar Flex and the mic isn't working. Not sure if this is user error or if I got a defective unit. Either way, not impressed.",Tech Support
18,My AuraPods Gen 2 are throwing a rave party without my permission,"Hey geniuses, my AuraPods Gen 2 (order #AU-2023-45678, purchased on 10/15/2023) keep blinking like they're trying to communicate with aliens. I followed your 'troubleshooting' guide (which was about as helpful as a screen door on a submarine), but they're still flashing like a disco ball. What's the deal? Are they broken or just really excited to see me?",Tech Support
19,Help ASAP!!!,StreamLink Hub making crazy noise wtf,Tech Support
20,THIS THING IS BROKEN!!!,WONT PAIR WTF,Tech Support
21,Compatibility issue,Does this thing even work with older devices? I can't get it to connect.,Tech Support
22,LOVE IT BUT...,Buttons??? Not working!!!,Tech Support
23,AuraPods Not Working - Order #AU12345,"I received my AuraPods on March 15th, and guess what? They don't produce any sound. I've tried everything - resetting, re-pairing, even using different devices. Nothing works. For a product that costs this much, I expected better. Please fix this ASAP or I'll have to consider other options.",Tech Support
24,Could you kindly provide information about the features?,"Hello there, I hope this message finds you well. I recently purchased one of your audio products, and I was wondering if you might be able to provide me with a detailed list of its features? I want to make sure I'm getting the most out of it. Thank you ever so much for your time and assistance!",Tech Support
25,EchoWave not working?,Voice assistant is dead. Firmware 4.0.9. Fix it.,Tech Support
26,Thanks for the brick,Your 'update' turned my EchoWave into a fancy paperweight. Genius.,Tech Support
27,AuraPods Gen 2 Buttons Not Working - Order #AU456789,"Hello, I purchased the AuraPods Gen 2 (Order #AU456789, purchased on March 15, 2024) and have been experiencing issues with the buttons. Neither the volume nor the play/pause buttons respond when pressed. I've tried resetting the device and ensuring it's fully charged, but the problem persists. Could you please assist me with troubleshooting or a replacement? Thank you.",Tech Support
28,BassHub Pro not working after update,Your stupid firmware update broke my BassHub. Fix it now.,Tech Support
29,SoundBar Flex - No sound after firmware update 2.8.9,"Hi, I recently updated my SoundBar Flex (Order #SB2023-45678, purchased on 2023-05-15) to firmware version 2.8.9 and now there's no sound coming out at all. I've tried resetting it, checking all connections, and even switching inputs but nothing works. Is this a known issue with the latest firmware? How can I fix this? Also, is there a way to roll back to the previous version if needed? Thanks for your help.",Tech Support
30,Did your latest update come with a 'brick my earbuds' feature?,"So I updated my AuraPods Gen 2 to firmware 4.7.4... and now they're basically fancy paperweights. Great job, guys. What's the fix?",Tech Support
31,EchoWave One Plus buttons not working,"Hi, I just got this and the buttons aren't responding at all. What should I do?",Tech Support
32,WavePanel Touch not responding?,"Hi, I just got my WavePanel Touch and the touch panel isn't working at all. Is there something I'm missing? Do I need to update it or something? It's just not responding to any touches. Help please!",Tech Support
33,Is overheating normal for the StreamLink Hub?,Hey there! I recently got the StreamLink Hub and I'm loving it so far! Just noticed it gets pretty warm during use. Is this normal or should I be concerned? Thanks for your help!,Tech Support
34,AuraPods not connecting to app?,"Hi, I'm having trouble getting the app to recognize my AuraPods. The firmware version is 4.0.8. Any suggestions on how to fix this?",Tech Support
35,Why won't my EchoWave One connect via Bluetooth?,"Hi, I'm having trouble pairing my EchoWave One with my phone. It's running firmware 4.4.5. Is this a known issue? What should I try next?",Tech Support
36,Can the SoundBlaster X3 connect to older devices? Order #45678 from 05/15/2023,"I recently purchased the SoundBlaster X3 (Order #45678 on 05/15/2023) and was under the impression it would work with my older devices. The product description was *conveniently* vague about compatibility. Now I find out it doesn’t connect to my vintage stereo system. Is there some secret setting I’m missing, or was this just false advertising? I’d appreciate a *detailed* response, not some copy-pasted FAQ nonsense.",Tech Support
37,EchoWave Mini touch panel not responding,"Hello, I recently purchased an EchoWave Mini and the touch panel doesn't seem to respond. I'm currently on firmware version 5.4.4. Could you help me troubleshoot this issue?",Tech Support
38,Could you kindly assist with my EchoWave One microphone issue?,"Dear Support Team, I hope this message finds you well. I'm writing to seek your assistance regarding my EchoWave One device, which seems to be experiencing some microphone difficulties. The firmware version is 4.1.4, and I've tried the usual troubleshooting steps to no avail. Would you be so kind as to guide me through resolving this matter? I truly appreciate your time and help. Warm regards,",Tech Support
39,Having trouble pairing my PulseDock,"Hi, I recently got a PulseDock and can't seem to get it to pair via Bluetooth. I'm on firmware version 3.4.5. Could you help me figure out what's wrong?",Tech Support
40,help!!!,yo my basshub pro thingy is dead. like totally dead. won't turn on. what gives?,Tech Support
41,Need advice on setting up my new AudioPhonic X200 speakers,"Hey there! Just got my AudioPhonic X200 speakers (order #AUD12345, ordered on 05/15/2024). I'm trying to set them up in my living room, which is kinda weirdly shaped—like, it's long and narrow with a vaulted ceiling. Not sure if I should go with the default setup or tweak the placement. Also, any tips on optimizing the sound for movies vs. music? Thanks!",Tech Support
42,EchoWave One randomly disconnecting - Order #EW12345,"Hello, I purchased an EchoWave One (Order #EW12345) on October 15th, 2023. I've been experiencing random disconnections with the device, especially when using it for extended periods. The firmware version is 3.3.3. Could you please advise if this is a known issue or if there's a fix available? Thank you for your help.",Tech Support
43,Looking for product manual,"Hello, I recently purchased one of your headphones but can't seem to find the manual. Could you please direct me to where I can download it?",Tech Support
44,EchoWave One - No Sound Issue,"Hi, my EchoWave One (Order #EW12345, purchased on 10/15/2023) has no sound. Tried restarting, checking connections, still nothing. Need help ASAP.",Tech Support
45,AuraPods Overheating Issue - Order #12345,"Hi, I recently purchased the AuraPods (Order #12345 on 05/15/2024) and have been experiencing overheating issues while using them. The firmware version is 3.5.9. They get very hot after about 30 minutes of use, especially during calls. Could you please advise if this is a known issue or if there's a fix available? Thanks for your help!",Tech Support
46,WavePanel Touch voice assistant not working?,"Hey, my WavePanel Touch's voice assistant stopped responding. Firmware is 3.2.6. What's going on?",Tech Support
47,Will this work??,I need to know NOW if this is compatible with my system. Don't waste my time.,Tech Support
48,AURAPODS GEN 2 FIRMWARE FAILED - ORDER #12345,I BOUGHT THE AURAPODS GEN 2 ON 10/15/2023 (ORDER #12345) AND THE FIRMWARE UPDATE COMPLETELY BRICKED THEM. NOW THEY WON'T TURN ON OR CONNECT TO ANYTHING. THIS IS UNACCEPTABLE FOR A $200 PRODUCT. FIX THIS NOW OR I'M RETURNING THEM AND DEMANDING A REFUND!!!,Tech Support
49,BassHub Pro issue,Won't connect. Need help.,Tech Support
50,EchoWave One Plus Buttons Not Working - Order #EW2023-4567,"I purchased the EchoWave One Plus (Order #EW2023-4567) on October 15, 2023, and the buttons have stopped functioning properly. The device is running firmware version 5.4.1. I've tried restarting it multiple times, but the issue persists. Please advise on how to resolve this or if a replacement is needed.",Tech Support
51,AuraPods Microphone Not Working - Order #AU456789,"Hello, I purchased the AuraPods on March 15, 2024 (Order #AU456789). The microphone on the right earbud has stopped working completely as of yesterday. I've tried resetting them and testing with different devices, but the issue persists. This is very frustrating as I use them for work calls. Please advise on how to proceed with a replacement or repair.",Tech Support
52,IS THIS THING WATERPROOF OR WHAT???,I NEED ANSWERS NOW!!!,Tech Support
53,EchoWave One Plus Overheating - Order #EW20231115,"I purchased the EchoWave One Plus on November 15, 2023 (Order #EW20231115), and it has been overheating to the point where it shuts down after 30 minutes of use. I’ve followed all the instructions, and it’s not like I’m using it in a sauna. Clearly, this is a defect, and I expect a resolution that doesn’t involve me jumping through hoops. What’s your plan to fix this?",Tech Support
54,Question about PulseDock buzzing noise,"Hi, I recently got a PulseDock and noticed there's a buzzing or static noise when I use it. I'm currently on firmware version 5.7.5. Could this be a known issue? Any suggestions on how to fix it? Thanks for your help!",Tech Support
55,compatibility,does this work with my stuff?,Tech Support
56,StreamLink Hub Won't Connect - Need Assistance,"Hello, I recently purchased a StreamLink Hub (firmware version 3.4.9) and I'm having trouble getting it to connect to my network. I've followed the setup instructions carefully, but the device just won't establish a connection. Could you please help me troubleshoot this issue? I'd appreciate any guidance you can provide. Thank you!",Tech Support
57,Need help choosing between SoundBlaster X3 and SoundBlaster X4,"Hi, I'm looking to upgrade my audio setup and can't decide between the SoundBlaster X3 and SoundBlaster X4. I mostly use my setup for gaming and music production. Can you explain the key differences between these two models? Also, which one would you recommend for my use case? I'd appreciate any advice on compatibility with my current setup (Windows 10, RTX 3080, and Audio-Technica ATH-M50x headphones). Thanks!",Tech Support
58,ECHOWAVE MINI VOICE ASSISTANT NOT WORKING - ORDER #12345,"I BOUGHT THE ECHOWAVE MINI ON JUNE 15TH, ORDER #12345, AND THE VOICE ASSISTANT DOESN'T RESPOND AT ALL! I'VE TRIED EVERYTHING - RESTARTING, RECONNECTING, UPDATING THE FIRMWARE. NOTHING WORKS! THIS IS COMPLETELY UNACCEPTABLE FOR A $150 DEVICE. I NEED A SOLUTION IMMEDIATELY OR I'M RETURNING THIS PIECE OF JUNK!",Tech Support
59,Question about StreamLink Hub blinking lights,"Hello, I recently purchased a StreamLink Hub and noticed the lights keep blinking. Is this normal or should I be concerned? Thank you for your help.",Tech Support
60,what does the app need to work?,"yo, just got the app but it's not doing anything. what's it need? wifi? bluetooth? help pls",Tech Support
61,HELP ME CHOOSE,I need the best option NOW. Don't waste my time.,Tech Support
62,EchoWave One Plus charging problem?,My EchoWave One Plus isn't charging properly. I've tried different cables and outlets but it's still not working right. What's going on with this?,Tech Support
63,AuraPods overheating issue - Order #AU12345,"Hi, I purchased the AuraPods (Order #AU12345) on March 15, 2024, and they keep overheating after about 30 minutes of use. Is this normal? Should I be worried about safety? Also, does this affect the battery life? Please advise.",Tech Support
64,Why can't your app find my EchoWave One?,I updated to firmware 5.0.4 and now the app can't find my device. Are you going to fix this or should I just return it?,Tech Support
65,StreamLink Hub keeps restarting?,"Hey, my StreamLink Hub is on firmware 2.2.7 but it keeps restarting randomly. What's going on?",Tech Support
66,EchoWave One Plus Mic Not Working - Order #EW2023-45678,"I purchased the EchoWave One Plus on October 15, 2023 (Order #EW2023-45678), and the microphone has stopped working as of November 10. I’ve already updated to firmware version 4.4.0, as suggested by your website, but surprise—it didn’t fix anything. I’d appreciate it if someone could actually help me resolve this instead of sending me in circles with useless updates. Thanks.",Tech Support
67,Is your product compatible with my system?,I need to know if this will work with my setup. Don't want to waste my time if it doesn't.,Tech Support
68,Help with EchoWave One,I think the latest update broke my device... it's not working right. Can you help?,Tech Support
69,PULSEDOCK IS MAKING BUZZING NOISE - ORDER #PD12345,I BOUGHT THE PULSEDOCK ON OCTOBER 15TH (ORDER #PD12345) AND IT'S MAKING A HORRIBLE BUZZING/STATIC NOISE WHEN I USE IT. THIS IS UNACCEPTABLE FOR A $200 DEVICE. I NEED A REPLACEMENT OR A REFUND IMMEDIATELY. THIS IS RIDICULOUS.,Tech Support
70,Does the SoundBlaster X3 support multipoint?,"Hi, I recently purchased the SoundBlaster X3 and was wondering if it supports multipoint Bluetooth connections. Could you clarify this for me? Thanks!",Tech Support
71,WHY WON'T MY AURAPODS GEN 2 TURN ON???,I JUST BOUGHT THESE AND THEY WON'T WORK!!! WHAT'S THE DEAL??,Tech Support
72,PulseDock Touch Panel Not Responding - Order #PD20230045,"Hello, I recently purchased a PulseDock (Order #PD20230045, delivered on March 15, 2024) and have been experiencing issues with the touch panel. It doesn't respond to any touches or inputs, making it impossible to use. I've tried restarting the device and checking for updates, but the problem persists. Could you please advise on how to resolve this? Thank you for your help.",Tech Support
73,PulseDock Bluetooth Pairing Issue - Order #12345,"Hello, I recently purchased a PulseDock (Order #12345 on 05/15/2023) and I'm having trouble pairing it with my devices via Bluetooth. The firmware version is 3.5.7. I've followed the instructions in the manual but it still won't connect. Could you please help me resolve this issue? Thank you.",Tech Support
74,"Hey, is the SoundBuds Pro really waterproof?","Yo, I just got my SoundBuds Pro (order #SB12345, ordered on 2023-10-15) and I wanna know if I can take these bad boys swimming or if they’ll just die on me. The website says 'water-resistant' but my buddy says his died in the pool. What’s the deal?",Tech Support
75,Love this thing but...,Not charging right? Maybe the firmware? So happy otherwise!,Tech Support
76,Will this even work?,Or am I just wasting my time here?,Tech Support
77,PulseDock firmware update issue - Order #PD-2023-4567,"Hello, I recently updated the firmware on my PulseDock (Order #PD-2023-4567, purchased on 10/15/2023) to version 2.1.0, and now the device won't turn on at all. I followed the instructions carefully, but after the update completed, the unit became completely unresponsive. I've tried resetting it and charging for several hours, but no luck. Please advise on how to fix this or if I need a replacement. Thank you.",Tech Support
78,Quick question,Does it support multipoint?,Tech Support
79,StreamLink Hub keeps dropping out?,"Hey, so my StreamLink Hub keeps disconnecting randomly. It's super annoying when I'm in the middle of something. What's up with that?",Tech Support
80,StreamLink Hub not working,Why won't this thing turn on? Fix it.,Tech Support
81,WavePanel Touch keeps disconnecting randomly,"Hey guys, my WavePanel Touch (firmware 3.2.3) keeps disconnecting randomly and it's driving me nuts. It was working fine for like a week, then bam—started dropping out every 10 minutes. I've tried restarting it, re-pairing, all the basic stuff. No luck. Help a bro out? Order #WP-2023-45678 from March 15th if that helps.",Tech Support
82,"Wow, great light show",My BassHub Pro thinks it's a disco ball now. Fix it.,Tech Support
83,WHICH MODEL SHOULD I BUY???,I'M LOOKING FOR A NEW HEADPHONE BUT YOUR WEBSITE HAS TOO MANY OPTIONS. WHICH ONE IS THE BEST?? I DON'T WANT TO WASTE MY MONEY ON CRAP!,Tech Support
84,AuraPods Bluetooth pairing issue - Order #AU45678,"Hi, I got my AuraPods (Order #AU45678, purchased on 10/15/2023) yesterday but they won't pair with my phone. Tried everything - reset, restart, firmware is 2.0.6. Need help ASAP.",Tech Support
85,WavePanel Touch making weird noises?,"Hi, I just got my WavePanel Touch and there's this weird buzzing or static noise coming from it. Is this normal? How do I fix it? Also, does this affect the sound quality? Thanks.",Tech Support
86,Can't find the manual for my product,"Hi, I recently purchased one of your headphones but can't seem to find the manual. Could you please help me locate it? Thanks!",Tech Support
87,Why is my SoundBar Flex buzzing?,Just got this thing and it's making static noise. Firmware 5.7.4. Fix it.,Tech Support
88,this thing sucks,yo my echowave keeps dropping out fix it pls,Tech Support
89,Question about buzzing noise from SoundBar Flex,"Dear Support Team, I hope this message finds you well. I recently purchased the SoundBar Flex and have been enjoying it immensely, but I've noticed a slight buzzing or static noise that occurs intermittently. I was wondering if this is a common issue or if there might be a solution you could suggest? I'd greatly appreciate any guidance you could provide. Thank you kindly for your time and assistance. Warm regards,",Tech Support
90,PULSEDOCK IS BROKEN!!!,BUZZING NOISE WONT STOP FIX THIS NOW!!!,Tech Support
91,EchoWave One volume issue?,"Hi, I just got my EchoWave One and the volume seems really low even at max settings. I'm on firmware 4.0.5 - is this normal? Also, is there a way to boost it more? The sound quality is great but just too quiet.",Tech Support
92,Will this work with older devices?,"Hi, I just bought your wireless earbuds and I'm not sure if they can connect to my older phone. It's an Android from like 5 years ago. Does it support Bluetooth 4.0? Also, what if I want to use them with my even older laptop? Thanks!",Tech Support
93,Compatibility question about my system,"Hi, I just bought your product but I'm not sure if it works with my setup. I have a Windows 10 PC and an older receiver. Will this work together? Also, do I need any extra cables or adapters? Thanks!",Tech Support
94,WHY IS MY ECHOWAVE MINI OVERHEATING???,I BOUGHT THIS THING RECENTLY AND IT'S ALREADY OVERHEATING ON FIRMWARE 4.5.9. THIS IS UNACCEPTABLE. FIX IT NOW!,Tech Support
95,WavePanel Touch Voice Assistant Not Working - Order #WP45678,"I purchased the WavePanel Touch on October 15th, 2023 (Order #WP45678). The voice assistant feature, which was a key reason for my purchase, does not respond at all. I've followed the setup instructions multiple times, restarted the device, and even checked for updates—nothing works. This is incredibly frustrating, especially for a premium product. I expect this to be resolved immediately or I will be returning it.",Tech Support
96,StreamLink Hub keeps disconnecting???,Why does it keep doing this? It was working fine yesterday and now it just drops all the time. What's going on?,Tech Support
97,"Seeking some guidance, if you'd be so kind","Hello there, I do hope this message finds you well. I was wondering if perhaps you might be able to assist me with a rather perplexing situation I find myself in regarding a certain audio-related predicament. It's all a bit confusing, and I would be ever so grateful for any advice you might offer.",Tech Support
98,Question about EchoWave Mini touch panel responsiveness,"Dear Support Team, I hope this message finds you well. I wanted to kindly inquire about an issue I'm experiencing with my EchoWave Mini. The touch panel seems to be unresponsive at times, which is quite puzzling as I've ensured it's running firmware version 4.5.5. I was wondering if you might have any suggestions or if this is a known issue that could be addressed? Thank you ever so much for your time and assistance. Warm regards,",Tech Support
99,WavePanel Touch not working after update,Your stupid firmware update broke my device. Fix it now.,Tech Support
100,StreamLink Hub Touch Panel Unresponsive - Order #SLH-2023-4567,"Dear Support Team,

I hope this message finds you well. I am writing to kindly seek your assistance regarding an issue I've encountered with my StreamLink Hub (Order #SLH-2023-4567, purchased on October 15, 2023). The touch panel has unfortunately stopped responding entirely, despite multiple attempts to restart the device and ensure all connections are secure.

I would be ever so grateful if you could guide me through any troubleshooting steps or advise on potential solutions to resolve this matter at your earliest convenience. Thank you immensely for your time and support.

Warm regards,",Tech Support
101,PulseDock blinking lights issue - Order #PD20231115,"Hi, I received my PulseDock on Nov 20, 2023 (order #PD20231115). The lights keep blinking non-stop even when not in use. Tried resetting but no change. Need help fixing this ASAP.",Tech Support
102,BassHub Pro Limited won't turn on - Need assistance,"Hi there, I recently purchased the BassHub Pro Limited (order #BHPL-2023-45678 on October 15, 2023) and have been using it with firmware version 2.2.3. Unfortunately, the device won't turn on anymore. I've tried different power outlets and cables, but no luck. Could you please help me troubleshoot this issue? Thanks!",Tech Support
103,Are your AuraPods supposed to have functional buttons?,"Just got these fancy AuraPods and surprise, surprise - the buttons don't work. Running firmware 5.9.3, in case that helps. Or maybe it's just a 'feature'?",Tech Support
104,Compatibility question about my headphones,"Hi, I recently bought your wireless headphones and love them! I was wondering if they can connect to older devices like my 2012 laptop? Thanks for your help!",Tech Support
105,Love my SoundBar Flex but having charging issues?,"Hey there! I recently got the SoundBar Flex and I'm absolutely loving it! The sound quality is amazing. However, I'm having some trouble with charging. It doesn't seem to hold a charge as long as I expected. Is this normal or could there be an issue? Thanks for your help!",Tech Support
106,WavePanel Touch Microphone Not Functioning - Firmware 4.0.6,"Dear Support Team,

I am writing to report an issue with my WavePanel Touch device. The microphone has stopped working entirely. I have checked all connections and settings, but the issue persists. The device is currently running firmware version 4.0.6. Could you please assist me in resolving this matter?

Thank you for your help.

Best regards,
[Your Name]",Tech Support
107,EchoWave One charging problems?,"Hi, my EchoWave One isn't charging properly. It's running firmware 3.3.2. Is this a known issue? Also, does it need a special charger? The light comes on but the battery won't hold a charge. What should I do?",Tech Support
108,WavePanel Touch Microphone Not Functioning - Order #WP2023-4567,"Hello, I recently purchased the WavePanel Touch (Order #WP2023-4567, purchased on October 15, 2023) and have been experiencing issues with the microphone. It doesn't seem to be working at all, despite multiple attempts to troubleshoot. The device is running firmware version 3.8.4. Could you please advise on how to resolve this issue? Thank you for your assistance.",Tech Support
109,CAN YOUR PRODUCT WORK WITH OLDER DEVICES???,I BOUGHT YOUR WIRELESS SPEAKER BUT IT WON'T CONNECT TO MY OLD STEREO. DOES IT ONLY WORK WITH NEW STUFF?? FIX THIS!,Tech Support
110,Why is my WavePanel Touch blinking?,I recently bought a WavePanel Touch and the lights keep blinking randomly. How do I fix this?,Tech Support
111,WHY DOES MY BASSHUB PRO KEEP RESTARTING???,I BOUGHT THIS THING LAST MONTH AND IT KEEPS RESTARTING NONSTOP. FIX THIS NOW!,Tech Support
112,EchoWave Mini - Fancy paperweight or speaker?,"Hey geniuses, just got my EchoWave Mini (Order #EWM2023-456, purchased on 10/15/2023) and guess what? It doesn't make sound. Shocking, I know. Tried all your troubleshooting steps - unplugged, reset, sacrificed a goat - nothing. Maybe it's a feature? 'The world's first silent speaker'? Brilliant. Fix it.",Tech Support
113,BassHub Pro Volume Issue - Order #BH2024-5678,"Hello, I purchased the BassHub Pro on March 15, 2024 (Order #BH2024-5678) and have been experiencing unusually low volume levels. I'm currently running firmware version 4.7.2. I've tried adjusting all the settings and using different audio sources, but the issue persists. Could you please advise if this is a known issue or if there's a fix available? Thank you for your help.",Tech Support
114,Why are my AuraPods blinking non-stop?,I just got these AuraPods and the lights keep blinking. What's going on? Fix this now.,Tech Support
115,DOES THIS WORK WITH MY SYSTEM OR NOT???,I BOUGHT YOUR PRODUCT AND IT'S NOT WORKING WITH MY SETUP. WHAT GIVES?,Tech Support
116,Need immediate recommendation for best audio product,I need to know which model I should buy from your product line. I'm looking for high-quality wireless headphones with noise cancellation. My budget is around $300. I saw you have several models - which one would you recommend? I need this ASAP as I'm making a purchase decision today. Order number is #123456 from 05/15/2023 if that helps with recommendations.,Tech Support
117,Question about BassHub Pro buttons,"Hi, I recently got a BassHub Pro and the buttons don't seem to be working properly. Could you help me figure out what's wrong?",Tech Support
118,EchoWave One keeps disconnecting,"Hi, my EchoWave One speaker keeps disconnecting randomly. I'm currently on firmware version 4.6.8. Could you help me troubleshoot this? Thanks!",Tech Support
119,SoundBar Flex not working after update?,Updated to 4.5.9 and now it's totally messed up. What's going on?,Tech Support
120,EchoWave Mini keeps disconnecting,"Hello, my EchoWave Mini speaker keeps disconnecting randomly during use. Is there a known issue with this model or any troubleshooting steps I can try?",Tech Support
121,WHY WON'T YOUR APP FIND MY AURAPODS??,I JUST BOUGHT THE AURAPODS GEN 2 AND YOUR STUPID APP CAN'T FIND THEM. WHAT'S THE POINT OF A WIRELESS DEVICE IF IT DOESN'T WORK?? FIX THIS NOW!,Tech Support
122,SOUNDBAR FLEX WON'T PAIR!!!,FIX THIS PIECE OF JUNK NOW!!!,Tech Support
123,WavePanel Touch won't connect - Order #WP45678,"I purchased the WavePanel Touch on 03/15/2024 (Order #WP45678) and it simply refuses to connect. I've tried everything - restarting, reinstalling the app, checking my network - but nothing works. The firmware version is 4.5.7, which is supposedly the latest. I expected better from a company that claims to have 'cutting-edge technology.' Please fix this or I'll have to consider returning it.",Tech Support
124,PulseDock Bluetooth Pairing Issue - Order #PD20230515,"Hi there, I recently purchased the PulseDock (Order #PD20230515 on May 15, 2023) and I'm having trouble pairing it via Bluetooth. The firmware version is 4.8.2. I've tried resetting the device and my phone, but it still won't connect. Could you please assist me with this? Thanks!",Tech Support
125,Why can't the app find my PulseDock?,I just got my PulseDock and the app won't connect to it. This is ridiculous. Fix it now.,Tech Support
126,"So, what exactly does this fancy gadget do?","Hey geniuses, I just bought your 'UltraSound Pro 3000' (Order #USP3000-2023-456, purchased on 10/15/2023). The box says it does everything except make coffee, but the manual might as well be written in ancient hieroglyphics. Can you enlighten me on what features this magical device actually has? Or should I just keep using it as a paperweight?",Tech Support
127,How long does the battery last?,Your product's battery sucks. How long is it supposed to last?,Tech Support
128,Is overheating normal for BassHub Pro?,"Hi, I just got the BassHub Pro and it gets really hot after about 30 minutes of use. Is this supposed to happen? Also, does it affect the sound quality or lifespan? Should I be worried?",Tech Support
129,Help with EchoWave One,Bluetooth won't connect... what's going on?,Tech Support
130,AuraPods Voice Assistant Not Responding - Firmware 5.2.4,"Dear Support Team,

I am writing regarding an issue with my AuraPods (Order #AU456789, purchased on 15th March 2024). The voice assistant feature does not respond when activated, despite multiple attempts. The current firmware version is 5.2.4. I have tried resetting the device and re-pairing it with my smartphone, but the issue persists.

Could you please assist me in resolving this matter? I would appreciate any troubleshooting steps or information on whether this is a known issue with this firmware version.

Thank you for your help.

Best regards,
[Your Name]",Tech Support
131,WTF IS THIS??,WHY WON'T IT WORK WITH MY OLD STUFF???,Tech Support
132,Help with EchoWave One,App can't find my device. What do I do?,Tech Support
133,Why does this thing get so hot?,Your EchoWave One Plus is overheating like crazy. Fix it.,Tech Support
134,AURAPODS BLINKING LIGHTS ISSUE - ORDER #12345,I BOUGHT YOUR AURAPODS (ORDER #12345 ON 05/15/2023) AND THEY KEEP BLINKING LIGHTS NON-STOP AFTER UPDATING TO FIRMWARE 3.3.0. THIS IS RIDICULOUS! I NEED A FIX OR A REFUND IMMEDIATELY. THIS IS UNACCEPTABLE FOR A PRODUCT THAT COSTS THIS MUCH!,Tech Support
135,PulseDock not working???,Why won't it pair?? I tried everything! Bluetooth just... nothing. Help!,Tech Support
136,OMG LOVE THESE BUT...,why won't they connect???,Tech Support
137,SoundBar Flex voice assistant issue?,Hi! I just got my SoundBar Flex and I LOVE it! But I'm having trouble with the voice assistant - it's not responding. Is there a quick fix for this? Thanks!,Tech Support
138,Why is my EchoWave One Plus blinking like a Christmas tree?,I just got this thing and the lights won't stop blinking. Is this normal or did I get a defective unit?,Tech Support
139,Why won't my EchoWave One Plus connect?,I just got this thing and it won't connect. Firmware is 4.5.1. Fix it.,Tech Support
